Ranking diari,Audiencia,Cadena,Dia,Mes,Any
617,"0,8%",boing,24,01,2019
618,"0,6%",dkiss,24,01,2019
619,"0,6%",gol-television,24,01,2019
620,"0,5%",bemadtv,24,01,2019
621,"0,4%",teledeporte,24,01,2019
622,"0,3%",ten,24,01,2019
623,"0,3%",real-madrid-tv,24,01,2019
624,"20,0%",telecinco,25,01,2019
625,"14,5%",antena3,25,01,2019
626,"9,8%",la1,25,01,2019
627,"9,1%",lasexta,25,01,2019
628,"3,9%",cuatro,25,01,2019
629,"2,3%",neox,25,01,2019
630,"2,3%",fdf,25,01,2019
631,"2,0%",energy,25,01,2019
632,"1,9%",la2,25,01,2019
633,"1,9%",nova,25,01,2019
634,"1,7%",canal24horas,25,01,2019
635,"1,5%",clan,25,01,2019
636,"1,5%",13tv,25,01,2019
637,"1,3%",discoverymax,25,01,2019
638,"1,2%",mega-espana,25,01,2019
639,"1,2%",divinity,25,01,2019
640,"1,2%",paramountchannel,25,01,2019
641,"1,1%",atreseries,25,01,2019
642,"1,0%",boing,25,01,2019
643,"0,8%",disney-channel,25,01,2019
644,"0,7%",gol-television,25,01,2019
645,"0,6%",dkiss,25,01,2019
646,"0,5%",bemadtv,25,01,2019
647,"0,4%",teledeporte,25,01,2019
648,"0,3%",ten,25,01,2019
649,"0,2%",real-madrid-tv,25,01,2019
650,"14,7%",telecinco,26,01,2019
651,"12,4%",antena3,26,01,2019
652,"10,7%",la1,26,01,2019
653,"6,6%",lasexta,26,01,2019
654,"5,1%",cuatro,26,01,2019
655,"2,6%",la2,26,01,2019
656,"2,3%",fdf,26,01,2019
657,"2,3%",neox,26,01,2019
658,"2,2%",energy,26,01,2019
659,"1,9%",canal24horas,26,01,2019
660,"1,8%",clan,26,01,2019
661,"1,7%",paramountchannel,26,01,2019
662,"1,6%",divinity,26,01,2019
663,"1,6%",discoverymax,26,01,2019
664,"1,5%",13tv,26,01,2019
665,"1,4%",boing,26,01,2019
666,"1,3%",disney-channel,26,01,2019
667,"1,2%",atreseries,26,01,2019
668,"1,2%",nova,26,01,2019
669,"1,2%",mega-espana,26,01,2019
670,"0,9%",gol-television,26,01,2019
671,"0,8%",bemadtv,26,01,2019
672,"0,8%",dkiss,26,01,2019
673,"0,7%",teledeporte,26,01,2019
674,"0,4%",ten,26,01,2019
675,"0,3%",real-madrid-tv,26,01,2019
676,"11,8%",telecinco,27,01,2019
677,"11,1%",antena3,27,01,2019
678,"10,4%",la1,27,01,2019
679,"6,1%",cuatro,27,01,2019
680,"5,6%",lasexta,27,01,2019
681,"3,1%",la2,27,01,2019
682,"2,6%",fdf,27,01,2019
683,"2,6%",energy,27,01,2019
684,"2,5%",neox,27,01,2019
685,"2,1%",divinity,27,01,2019
686,"1,9%",13tv,27,01,2019
687,"1,9%",paramountchannel,27,01,2019
